"","Site","sdate","Year","Month","DOY","Precip","MaxT","lPrecip","wPrecip","wlPrecip","Chl_Median","D_Median","lD_Median","DO_Median","PctSat_Median","pH_Median","spCond_Median","T_Median"
"24","S07",2010-07-10,2010,"Jul",191,10.2,27.2,2.41591377830105,0.268435456,0.147453245337914,460.5827,NA,NA,5.26,61.4,NA,1656.5,22.89
"25","S07",2010-07-11,2010,"Jul",192,0,26.7,0,8.16,1.93273102264084,159.6128,NA,NA,5.515,64.75,NA,594.5,23.1
"26","S07",2010-07-12,2010,"Jul",193,0,26.7,0,6.528,1.54618481811267,209.4197,NA,NA,5.545,64.2,NA,771.5,23.115
"27","S07",2010-07-13,2010,"Jul",194,0.5,27.2,0.405465108108164,5.2224,1.23694785449014,247.5908,NA,NA,5.32,62.3,NA,906,23.19
"28","S07",2010-07-14,2010,"Jul",195,57.4,25.6,4.06731588983418,4.57792,1.31393037007864,72.77,NA,NA,7.06,80.3,NA,290,22.115
"29","S07",2010-07-15,2010,"Jul",196,0,28.3,0,49.582336,4.30499700793026,105.407,NA,NA,6.695,78.05,NA,405,23.26
"30","S07",2010-07-16,2010,"Jul",197,0,23.9,0,39.6658688,3.44399760634421,134.9222,NA,NA,6.22,73.4,NA,508,23.595
"31","S07",2010-07-17,2010,"Jul",198,0,32.2,0,31.73269504,2.75519808507537,159.4709,NA,NA,5.845,69.1,NA,595.5,24.2
"32","S07",2010-07-18,2010,"Jul",199,0,31.1,0,25.386156032,2.20415846806029,198.4934,NA,NA,5.47,63.85,NA,733,23.62
"33","S07",2010-07-19,2010,"Jul",200,0,26.7,0,20.3089248256,1.76332677444823,237.6578,NA,NA,5.78,66.3,NA,871,22.44
"34","S07",2010-07-20,2010,"Jul",201,0,26.7,0,15.1519232,1.15125465286462,260.6456,NA,NA,5.84,66.65,NA,951.5,21.865
"35","S07",2010-07-21,2010,"Jul",202,24.4,27.2,3.23474917402449,12.12153856,0.921003722291694,273.7004,NA,NA,7.36,85.9,NA,975,21.555
"36","S07",2010-07-22,2010,"Jul",203,0,27.8,0,29.217230848,3.32460231705295,117.8942,NA,NA,7.46,84.45,NA,448,21.205
"37","S07",2010-07-23,2010,"Jul",204,0,28.3,0,23.3200975872,2.61614536916752,171.8162,NA,NA,7.39,81.4,NA,638,20.765
"38","S07",2010-07-24,2010,"Jul",205,0,25.6,0,12.4928,1.65619157710054,224.0354,NA,NA,6.985,79.45,NA,823,21.385
"39","S07",2010-07-25,2010,"Jul",206,7.6,29.4,2.15176220325946,9.99424,1.32495326168043,146.9837,NA,NA,6.585,76,NA,551.5,21.95
"40","S07",2010-07-26,2010,"Jul",207,0,27.8,0,14.075392,2.78137237195191,196.223,NA,NA,6.765,74.85,NA,725,20.59
"41","S07",2010-07-27,2010,"Jul",208,0,30,0,11.2603136,2.22509789756153,231.1304,NA,NA,6.605,73.25,NA,848,20.35
"42","S07",2010-07-28,2010,"Jul",209,0,30.6,0,9.00825088,1.78007831804923,258.0914,NA,NA,6.255,70.15,NA,943,20.855
"43","S07",2010-07-29,2010,"Jul",210,1,30,0.693147180559945,7.206600704,1.42406265443938,276.5384,NA,NA,6.085,69.3,NA,1008,21.625
"44","S07",2010-07-30,2010,"Jul",211,0,24.4,0,6.5652805632,1.69376786799946,265.1864,NA,NA,6.36,69.4,NA,968,19.685
"45","S07",2010-07-31,2010,"Jul",212,0,22.8,0,2.6322944,1.00768574656961,285.4781,NA,NA,6.68,70.5,NA,1039.5,18.175
"46","S07",2010-08-01,2010,"Aug",213,0,23.9,0,2.10583552,0.806148597255691,298.5329,NA,NA,6.68,70.95,NA,1085.5,17.95
"47","S07",2010-08-02,2010,"Aug",214,0,23.9,0,1.684668416,0.644918877804553,307.0469,NA,NA,6.56,70.65,NA,1115.5,18.705
"48","S07",2010-08-03,2010,"Aug",215,0,27.2,0,1.3477347328,0.515935102243642,312.581,NA,NA,6.65,71.9,NA,1135,19.15
"49","S07",2010-08-04,2010,"Aug",216,0,32.8,0,0.262144,0.181704374500706,325.2101,NA,NA,5.865,64.5,NA,1179.5,20.7
"50","S07",2010-08-05,2010,"Aug",217,1.5,26.7,0.916290731874155,0.2097152,0.145363499600565,324.5006,NA,NA,5.58,63.6,NA,1177,21.59
"51","S07",2010-08-06,2010,"Aug",218,0,30,0,1.36777216,0.849323385179776,275.9708,NA,NA,5.61,63.65,NA,1006,21.625
"52","S07",2010-08-07,2010,"Aug",219,0,24.4,0,1.094217728,0.679458708143821,271.1462,NA,NA,5.925,63,NA,989,18.29
"53","S07",2010-08-08,2010,"Aug",220,0,27.2,0,0.768,0.469140854719568,278.0993,NA,NA,6.155,64.2,NA,1013.5,17.77
"54","S07",2010-08-09,2010,"Aug",221,0,31.1,0,0.6144,0.375312683775654,296.6882,NA,NA,5.34,57.55,NA,1078,19.33
"55","S07",2010-08-10,2010,"Aug",222,0,31.7,0,0.49152,0.300250147020523,449.9402,NA,NA,3.765,43.6,NA,1619,21.205
"56","S07",2010-08-11,2010,"Aug",223,0,27.8,0,0.393216,0.240200117616419,465.4073,NA,NA,3.76,42.7,NA,1673.5,20.325
"57","S07",2010-08-12,2010,"Aug",224,0,22.8,0,0.3145728,0.192160094093135,492.794,NA,NA,4.095,44.95,NA,1770,18.825
"58","S07",2010-08-13,2010,"Aug",225,0,23.9,0,0.25165824,0.153728075274508,514.6466,NA,NA,4.305,46.65,NA,1847,18.02
"59","S07",2010-08-14,2010,"Aug",226,0,25.6,0,0.201326592,0.122982460219606,519.4712,NA,NA,4.255,44.6,NA,1864,17.295
"60","S07",2010-08-15,2010,"Aug",227,0,23.9,0,0,0,522.8768,NA,NA,4.07,42.9,NA,1876,18.06
"61","S07",2010-08-16,2010,"Aug",228,3.8,22.2,1.56861591791385,0,0,371.4695,NA,NA,5.82,64.9,NA,1342.5,19.425
"62","S07",2010-08-17,2010,"Aug",229,0,28.9,0,3.04,1.25489273433108,377.9969,NA,NA,4.31,47.15,NA,1365.5,20.195
"63","S07",2010-08-18,2010,"Aug",230,0,27.2,0,2.432,1.00391418746486,417.587,NA,NA,3.53,39.2,NA,1505,19.375
"64","S07",2010-08-19,2010,"Aug",231,0,27.8,0,1.9456,0.803131349971889,451.0754,NA,NA,3.36,36.5,NA,1623,19.025
"65","S07",2010-08-20,2010,"Aug",232,0,26.7,0,1.55648,0.642505079977511,486.2666,NA,NA,2.82,30,NA,1747,18.465
"66","S07",2010-08-21,2010,"Aug",233,0,23.9,0,1.245184,0.514004063982009,512.2343,NA,NA,2.89,30.45,NA,1838.5,16.98
"67","S07",2010-08-22,2010,"Aug",234,0.8,21.7,0.587786664902119,0.9961472,0.411203251185607,536.783,NA,NA,2.51,26.65,NA,1925,17.86
"68","S07",2010-08-23,2010,"Aug",235,1.8,20,1.02961941718116,1.43691776,0.799191932870181,468.3872,NA,NA,5.455,57.1,NA,1684,17.56
"69","S07",2010-08-24,2010,"Aug",236,0,22.8,0,2.589534208,1.46304908004107,455.0486,NA,NA,5.525,58.45,NA,1637,17.775
"70","S07",2010-08-25,2010,"Aug",237,67.1,17.8,4.22097721315547,2.0716273664,1.17043926403286,90.9332,NA,NA,7.805,83,NA,354,18.175
"71","S07",2010-08-26,2010,"Aug",238,0,27.2,0,54.92928,4.14470433006503,102.4271,NA,NA,7.8,82.7,NA,394.5,19.935
"72","S07",2010-08-27,2010,"Aug",239,0,25,0,43.943424,3.31576346405203,130.0976,NA,NA,7.46,80.6,NA,492,19.42
"73","S07",2010-08-28,2010,"Aug",240,0,28.3,0,35.1547392,2.65261077124162,151.9502,NA,NA,7.36,77.85,NA,568.5,19.185
"74","S07",2010-08-29,2010,"Aug",241,0,32.8,0,28.12379136,2.1220886169933,165.005,NA,NA,6.665,72.65,NA,614.5,20.4
"75","S07",2010-08-30,2010,"Aug",242,0,32.2,0,22.499033088,1.69767089359464,192.1079,NA,NA,6.075,67,NA,710.5,20.7
"76","S07",2010-08-31,2010,"Aug",243,0,34.4,0,17.9992264704,1.35813671487571,210.1292,NA,NA,5.59,60.9,NA,758,21.84
"77","S07",2010-09-01,2010,"Sep",244,0,32.8,0,14.3134818304,1.02339625933108,229.0019,NA,NA,5.45,62.1,NA,840.5,22.32
"78","S07",2010-09-02,2010,"Sep",245,0,33.9,0,11.257511936,0.708162464361873,245.3204,NA,NA,4.925,56.9,NA,898,22.36
"79","S07",2010-09-03,2010,"Sep",246,6.6,28.3,2.02814824729229,9.0060095488,0.566529971489499,255.5372,NA,NA,4.98,57.1,NA,933,22.37
"80","S07",2010-09-04,2010,"Sep",247,22.1,27.8,3.13983261752775,5.28,1.62251859783383,71.6348,NA,NA,7.26,84.05,NA,286,22.51
"81","S07",2010-09-05,2010,"Sep",248,0,22.8,0,21.904,3.80988097228926,98.312,NA,NA,7.93,84.25,NA,380,18.97
"82","S07",2010-09-06,2010,"Sep",249,0,23.9,0,17.5232,3.04790477783141,122.8607,NA,NA,7.76,81.4,NA,466.5,18
"83","S07",2010-09-07,2010,"Sep",250,0,26.1,0,14.01856,2.43832382226513,137.7602,NA,NA,7.415,79.95,NA,518.5,18.26
"84","S07",2010-09-08,2010,"Sep",251,2,27.2,1.09861228866811,11.214848,1.9506590578121,185.1548,NA,NA,7.075,77.65,NA,685,19.495
"85","S07",2010-09-09,2010,"Sep",252,3.3,23.3,1.45861502269952,10.5718784,2.43941707718417,165.005,NA,NA,7.035,75.6,NA,614,18.89
"86","S07",2010-09-10,2010,"Sep",253,0,18.9,0,11.09750272,3.11842567990695,116.1914,NA,NA,7.705,80.15,NA,443,17.5
"87","S07",2010-09-11,2010,"Sep",254,0,22.8,0,8.878002176,2.49474054392556,148.5446,NA,NA,7.49,76.9,NA,557,16.895
"88","S07",2010-09-12,2010,"Sep",255,0,16.1,0,7.1024017408,1.99579243514045,164.0117,NA,NA,8.015,80.9,NA,610,15.99
"89","S07",2010-09-13,2010,"Sep",256,0.3,16.1,0.262364264467491,4.9732517888,1.37886318827336,179.7626,NA,NA,7.79,78.4,NA,667,15.585
"90","S07",2010-09-14,2010,"Sep",257,0,22.2,0,1.845632,0.975845002012784,209.8454,NA,NA,7.845,79.25,NA,773,16.36
"91","S07",2010-09-15,2010,"Sep",258,0,19.4,0,1.4765056,0.780676001610227,185.4386,NA,NA,7.675,76.3,NA,687,15.62
"92","S07",2010-09-16,2010,"Sep",259,7.4,17.8,2.12823170584927,1.18120448,0.624540801288182,209.2778,NA,NA,8.16,81.6,NA,771,14.715
"93","S07",2010-09-17,2010,"Sep",260,1,19.4,0.693147180559945,6.864963584,2.20221800570996,103.2785,NA,NA,8.01,81.65,NA,397.5,16.25
"94","S07",2010-09-18,2010,"Sep",261,0,19.4,0,6.0772225024,2.19832955274559,139.8887,NA,NA,8.085,80.05,NA,525.5,15.255
"95","S07",2010-09-19,2010,"Sep",262,0,20,0,4.5074432,1.60204604669776,155.072,NA,NA,8.3,83.05,NA,580,15.18
"96","S07",2010-09-20,2010,"Sep",263,0,19.4,0,3.60595456,1.28163683735821,184.4453,NA,NA,7.795,76.85,NA,683.5,14.985
"97","S07",2010-09-21,2010,"Sep",264,0,20,0,2.884763648,1.02530946988656,204.3113,NA,NA,7.835,74.6,NA,753.5,13.675
"98","S07",2010-09-22,2010,"Sep",265,0,27.2,0,2.3078109184,0.820247575909251,234.3941,NA,NA,7.22,71.95,NA,859.5,16.075
"99","S07",2010-09-23,2010,"Sep",266,0,20,0,1.81403648,0.628026912339227,249.7193,NA,NA,6.615,66.1,NA,913.5,16.24
"100","S07",2010-09-24,2010,"Sep",267,4.1,21.1,1.62924053973028,1.451229184,0.502421529871382,183.7358,NA,NA,7.165,70.6,NA,593,16.995
"101","S07",2010-09-25,2010,"Sep",268,0,30,0,4.4409833472,1.70532965568133,155.072,NA,NA,6.19,65.15,NA,579.5,17.885
"102","S07",2010-09-26,2010,"Sep",269,0.8,15,0.587786664902119,2.758217728,1.13574658517174,168.5525,NA,NA,6.205,61.75,NA,627.5,15.925
"103","S07",2010-09-27,2010,"Sep",270,3,13.9,1.38629436111989,2.7392,1.3044004882636,194.2364,NA,NA,7.365,72.15,NA,718,14.46
"104","S07",2010-09-28,2010,"Sep",271,7.1,20.6,2.09186406167839,4.59136,2.15255587950679,163.1603,NA,NA,7.785,78.6,NA,608.5,16.375
"105","S07",2010-09-29,2010,"Sep",272,0,26.1,0,9.353088,3.39553595294815,99.731,NA,NA,7.205,77.8,NA,385,18.985
"106","S07",2010-09-30,2010,"Sep",273,0.8,21.1,0.587786664902119,7.4824704,2.71642876235852,131.8004,NA,NA,6.895,73.95,NA,497.5,18.545
"107","S07",2010-10-01,2010,"Oct",274,18.8,21.7,2.98568193770049,6.62597632,2.64337234180851,146.8418,NA,NA,6.905,74.8,NA,551,18.765
"108","S07",2010-10-02,2010,"Oct",275,0,17.8,0,20.340781056,4.5032434236072,78.5879,NA,NA,8.495,84.65,NA,310.5,15.98
"109","S07",2010-10-03,2010,"Oct",276,0,15,0,16.2726248448,3.60259473888576,102.9947,NA,NA,9.21,87.1,NA,396.5,13.39
"110","S07",2010-10-04,2010,"Oct",277,0,16.1,0,12.577865728,2.70713742022213,119.3132,NA,NA,9.115,85.75,NA,454,12.825
"111","S07",2010-10-05,2010,"Oct",278,0,18.3,0,10.0622925824,2.16570993617771,132.6518,NA,NA,8.445,82.8,NA,501,14.125
"112","S07",2010-10-06,2010,"Oct",279,39.9,14.4,3.71113006304876,7.96393472,1.66945483637268,115.6238,NA,NA,8.76,83.9,NA,405.5,14.03
"113","S07",2010-10-07,2010,"Oct",280,0.3,16.7,0.262364264467491,37.9690252288,4.15561569594617,63.8303,NA,NA,8.875,84.9,NA,258.5,13.175
"114","S07",2010-10-08,2010,"Oct",281,0,21.7,0,29.852863488,3.30977177501627,74.7566,0.055,0.0535407669280298,9.215,85.35,NA,297,12.585
"115","S07",2010-10-09,2010,"Oct",282,0,12.8,0,23.8822907904,2.64781742001301,85.2572,0.044,0.043059489460447,9.57,86.95,NA,334,12.265
"116","S07",2010-10-10,2010,"Oct",283,0,17.2,0,19.0199332864,2.05514082344092,100.2986,0.031,0.0305292050348229,9.91,87.2,NA,387,9.99
"117","S07",2010-10-11,2010,"Oct",284,0,17.2,0,13.197312,1.3235275017857,112.502,0.026,0.0256677467485778,9.78,86.2,NA,430,10.1
"118","S07",2010-10-12,2010,"Oct",285,0,15.6,0,10.5578496,1.05882200142856,126.4082,0.024,0.023716526617316,9.56,84.5,NA,479,10.365
"119","S07",2010-10-13,2010,"Oct",286,0,16.1,0,8.44627968,0.847057601142849,142.301,0.022,0.0217614917815127,9.52,84,NA,534,10.17
"120","S07",2010-10-14,2010,"Oct",287,0,15,0,6.757023744,0.677646080914279,155.9234,0.017,0.0168571170664229,9.45,81.6,NA,582,9.66
"121","S07",2010-10-15,2010,"Oct",288,89.2,13.9,4.50202942706858,5.4056189952,0.542116864731423,20.8346,0.4185,0.349599975266769,9.29,85.2,NA,106.5,11.11
"122","S07",2010-10-16,2010,"Oct",289,0,12.8,0,71.4002653184,3.63683747714008,36.4436,0.1755,0.161693588997987,10.07,88.9,NA,162,10.1
"123","S07",2010-10-17,2010,"Oct",290,0,16.7,0,57.088,2.88129883332389,50.066,0.102,0.0971267107307228,10.405,90.3,NA,210,9.27
"124","S07",2010-10-18,2010,"Oct",291,0,13.3,0,45.6704,2.30503906665911,61.418,0.072,0.0695260626486102,10.605,90.35,NA,250,8.8
"125","S07",2010-10-19,2010,"Oct",292,0,12.8,0,36.53632,1.84403125332729,70.2158,0.056,0.0544881852840697,11.04,90.95,NA,281,7.53
"126","S07",2010-10-20,2010,"Oct",293,0,15,0,29.229056,1.47522500266183,79.0136,0.045,0.0440168854167743,11.015,91,NA,312,7.34
"127","S07",2010-10-21,2010,"Oct",294,4.1,12.8,1.62924053973028,23.3832448,1.18018000212947,86.6762,0.044,0.043059489460447,10.505,87.55,NA,339,7.935
"128","S07",2010-10-22,2010,"Oct",295,0,8.9,0,21.98659584,2.2475364334878,84.9734,0.046,0.0449733656427312,11.11,89.65,NA,333,6.61
"129","S07",2010-10-23,2010,"Oct",296,0,11.7,0,17.589276672,1.79802914679024,88.8047,0.036,0.0353671438372913,11.295,89.9,NA,346.5,5.705
"130","S07",2010-10-24,2010,"Oct",297,1,7.8,0.693147180559945,14.0714213376,1.43842331743219,97.1768,0.034,0.0334347760862374,11.295,91.05,NA,376,5.95
"131","S07",2010-10-25,2010,"Oct",298,3.8,11.7,1.56861591791385,2.47936,1.22185466952148,114.3467,0.035,0.0344014267173324,10.67,88.95,NA,436.5,7.695
"132","S07",2010-10-26,2010,"Oct",299,1.5,17.8,0.916290731874155,5.023488,2.23237646994826,80.5745,0.069,0.0667236320429082,9.86,88.6,NA,317.5,10.66
"133","S07",2010-10-27,2010,"Oct",300,21.3,17.8,3.10458667846607,5.2187904,2.51893376145793,56.5934,0.1495,0.139327065221099,9.25,88,NA,233,13.43
"134","S07",2010-10-28,2010,"Oct",301,0,20.6,0,21.21503232,4.4988163519392,40.4168,0.1705,0.157431007948828,9.4,86.9,NA,176,12.06
"135","S07",2010-10-29,2010,"Oct",302,0.3,12.8,0.262364264467491,16.972025856,3.59905308155136,52.6202,0.104,0.0989399478549036,10.21,89.5,NA,219,9.945
"136","S07",2010-10-30,2010,"Oct",303,0,9.4,0,13.8176206848,3.08913387681508,62.4113,0.082,0.0788111804242898,10.89,90.6,NA,253.5,7.735
"137","S07",2010-10-31,2010,"Oct",304,0.3,11.7,0.262364264467491,10.6138624,2.29636873056559,71.9186,0.071,0.0685927914656117,10.895,89.8,NA,287,7.59
"138","S07",2010-11-01,2010,"Nov",305,0,10,0,8.73108992,2.04698639602647,78.1622,0.058,0.0563803334361076,11.345,91.7,NA,309,6.165
"139","S07",2010-11-02,2010,"Nov",306,0,9.4,0,6.984871936,1.63758911682117,86.96,0.051,0.0497420918948141,11.325,90.5,NA,340,6.135
"140","S07",2010-11-03,2010,"Nov",307,0,8.3,0,5.4805233664,1.23564518166145,93.0617,0.046,0.0449733656427312,11.855,90.9,NA,361.5,4.46
"141","S07",2010-11-04,2010,"Nov",308,38.1,9.4,3.66612246699132,3.9763968,0.820087293643535,99.1634,0.045,0.0440168854167743,11.595,89.35,NA,383,4.27
"142","S07",2010-11-05,2010,"Nov",309,10.7,14.4,2.45958884180371,33.5000561664,3.4905818403322,26.7944,0.2885,0.253478751110283,10.56,88.1,NA,128,7.525
"143","S07",2010-11-06,2010,"Nov",310,0,7.2,0,33.072974848,4.4267840894185,36.7274,0.148,0.138021297897375,11.26,92.2,NA,163,7.09
"144","S07",2010-11-07,2010,"Nov",311,16.5,5,2.86220088092947,26.4583798784,3.5414272715348,48.647,0.106,0.100749903100143,12.055,93.85,NA,205,4.93
"145","S07",2010-11-08,2010,"Nov",312,9.1,9.4,2.31253542384721,34.334491648,5.09473137358324,22.8212,0.3215,0.278767455062207,11.515,92.05,NA,114,6.25
"146","S07",2010-11-09,2010,"Nov",313,3,12.2,1.38629436111989,34.7475933184,5.92581343794436,29.6324,0.1565,0.145398202689357,11.13,90.9,NA,133,6.91
"147","S07",2010-11-10,2010,"Nov",314,0.8,9.4,0.587786664902119,30.1658624,5.82151509086323,52.0526,0.133,0.124868982045869,11.43,93.9,NA,214.5,7.085
"148","S07",2010-11-11,2010,"Nov",315,0,11.1,0,24.77268992,5.12744140461228,63.1208,0.09,0.0861776962410523,11.9,93.45,NA,256,5.32
"149","S07",2010-11-12,2010,"Nov",316,0,15,0,19.818151936,4.10195312368982,76.8851,0.073,0.0704584636485614,12.175,93.55,NA,304.5,4.795
"150","S07",2010-11-13,2010,"Nov",317,0,18.3,0,15.8545215488,3.28156249895186,86.5343,0.063,0.0610950993598109,12.085,92.55,NA,338.5,4.91
"151","S07",2010-11-14,2010,"Nov",318,0,9.4,0,8.5926608896,2.23160309669002,93.7712,0.056,0.0544881852840697,12.055,93.85,NA,364,4.875
"152","S07",2010-11-15,2010,"Nov",319,0,10,0,5.72522496,1.52118613642318,98.0282,0.054,0.0525924501191706,11.36,91.95,NA,379,6.725
"153","S07",2010-11-16,2010,"Nov",320,0.3,12.8,0.262364264467491,4.580179968,1.21694890913855,102.569,0.053,0.0516432331518385,10.9,92.1,NA,395,8.37
"154","S07",2010-11-17,2010,"Nov",321,37.1,14.4,3.64021428213266,2.1324699648,0.876124059430468,22.1117,0.3625,0.309321247555262,10.335,90,NA,111.5,9.305
"155","S07",2010-11-18,2010,"Nov",322,0,11.1,0,30.408870912,3.36476407284387,35.0246,0.183,0.16805358499625,11.125,91.3,NA,157,7.395
"156","S07",2010-11-19,2010,"Nov",323,0,6.1,0,24.0049741824,2.54295903468412,49.0727,0.11,0.104360015324243,12.395,93.8,NA,206.5,4.105
"157","S07",2010-11-20,2010,"Nov",324,0,10.6,0,19.11808,1.9712541151778,60.2828,0.085,0.0815799869924229,12.72,94,NA,246,3.28
"158","S07",2010-11-21,2010,"Nov",325,0,2.8,0,15.294464,1.57700329214224,66.1007,0.061,0.0592118596318461,13.215,95.45,NA,266.5,2.24
"159","S07",2010-11-22,2010,"Nov",326,3.6,7.2,1.52605630349505,12.2355712,1.26160263371379,76.6013,0.062,0.0601539228197471,13.145,95.2,NA,303.5,2.665
"160","S07",2010-11-23,2010,"Nov",327,0.5,7.2,0.405465108108164,12.66845696,2.23012714976708,72.0605,0.084,0.0806579030174545,12.29,94.3,NA,287.5,5.125
"161","S07",2010-11-24,2010,"Nov",328,0,6.1,0,10.534765568,2.10847380630019,71.0672,0.071,0.0685927914656117,12.62,93.55,NA,284,4
"162","S07",2010-11-25,2010,"Nov",329,0,5,0,8.42781245440001,1.68677904504015,77.8784,0.051,0.0497420918948141,13.225,94.75,NA,308,1.92
"163","S07",2010-11-26,2010,"Nov",330,6.9,3.3,2.06686275947298,6.7100377088,1.32125208764395,85.2572,0.1105,0.104810364352345,12.855,93.6,NA,334,2.17
"164","S07",2010-11-27,2010,"Nov",331,0,5.6,0,6.904448,2.31962684538874,72.4862,0.0795,0.076497970972725,13.305,94.55,NA,289,1.445
"165","S07",2010-11-28,2010,"Nov",332,0,6.1,0,5.5235584,1.85570147631099,80.5745,0.054,0.0525924501191706,13.77,95.15,NA,317.5,0.53
"166","S07",2010-11-29,2010,"Nov",333,0,6.1,0,4.41884672,1.4845611810488,93.2036,0.045,0.0440168854167743,13.77,95,NA,362,0.465
"167","S07",2010-11-30,2010,"Nov",334,0.5,7.2,0.405465108108164,3.535077376,1.18764894483904,108.3869,0.043,0.0421011760186354,13.72,95.3,NA,415.5,1.095
"168","S07",2010-12-01,2010,"Dec",335,18.5,10,2.9704144655697,3.2280619008,1.27449124235776,106.9679,0.052,0.0506931143155181,12.975,96.3,NA,410.5,3.855
"169","S07",2010-12-02,2010,"Dec",336,2.8,10,1.33500106673234,16.995902464,3.23206551845782,25.8011,0.2735,0.241769015437375,11.85,93,NA,124.5,5.6
"170","S07",2010-12-03,2010,"Dec",337,0.8,5.6,0.587786664902119,15.78303488,3.61011678367729,38.714,0.125,0.117783035656383,12.68,93,NA,165,3.1425
"171","S07",2010-12-04,2010,"Dec",338,3.3,6.1,1.45861502269952,13.266427904,3.35832275886353,NA,0.137,0.128393214768399,11.31,NA,NA,0,2.943
"172","S07",2010-12-05,2010,"Dec",339,0,0.6,0,13.2531423232,3.85355022525043,62.5532,0.1015,0.0966728872602608,13.435,95,NA,0,1.665
"173","S07",2010-12-06,2010,"Dec",340,0,0,0,9.861632,2.86091248126893,69.3644,0.0795,0.076497970972725,13.31,93.15,NA,278,0.96
"174","S07",2010-12-07,2010,"Dec",341,0.3,0.6,0.262364264467491,7.8893056,2.28872998501514,76.8851,0.065,0.0629747991613884,13.545,94,NA,304.5,0.485
"175","S07",2010-12-08,2010,"Dec",342,0,0,0,6.55144448,2.04087539958611,86.1086,0.05,0.048790164169432,13.59,93.1,NA,337,0.03
"176","S07",2010-12-09,2010,"Dec",343,0,-2.2,0,5.241155584,1.63270031966889,97.3187,NA,NA,13.26,91.15,NA,376.5,0.02
"177","S07",2011-02-21,2011,"Feb",52,2.3,-3.3,1.19392246847243,0,0,NA,NA,NA,NA,NA,NA,NA,NA
